Stops / Ports,Standardized Port,City,Country
California City,"California City, USA",California City,USA
"Balboa, Panama","Balboa, Panama",Balboa,Panama
"St. Elmo Bay, Panama",Unknown,Unknown,
"Callao, Peru","Callao, Peru",Callao,Peru
"Valparaiso, Chile","Valparaiso, Chile",Valparaiso,Chile
"Punta Arenas, Chile","Punta Arenas, Chile",Punta Arenas,Chile
"Buenos Aries, Argentina","Buenos Aires, Argentina",Buenos Aires,Argentina
"Montevideo, Uruguay","Montevideo, Uruguay",Montevideo,Uruguay
"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",Rio de Janeiro,Brazil
"Port of Spain, Trinidad, B.W.I.",Unknown,Unknown,
"Hampton Roads, Virginia",Unknown,Unknown,
Washington DC,"Washington DC, USA",Washington DC,USA
New York City NY,"New York City, USA",New York City,USA
"Cristobal, Panama","Cristóbal, Panama",Cristóbal,Panama
"Matzalan, Mexico","Mazatlan, Mexico",Mazatlan,Mexico
"San Diego, Calif",Unknown,Unknown,
"Los Angeles / San Pedro, Calif.",Unknown,Unknown,
Santa Barbara,"Santa Barbara, USA",Santa Barbara,USA
"Tiburon, Calif",Unknown,Unknown,
Tiburon,Tiburon,Tiburon,
San Francisco,"San Francisco, USA",San Francisco,USA
"Honolulu, T.H.",Unknown,Unknown,
"Apra, Guam",Unknown,Unknown,
"Manila, P.I.",Unknown,Unknown,
"Singapore, Malaysia",Unknown,Unknown,
"Columbo, Ceylon","Columbo, Ceylon",Columbo,Ceylon
"Port Said, Egypt","Port Said, Egypt",Port Said,Egypt
"Alexandria, Egypt","Alexandria, Egypt",Alexandria,Egypt
"Naples, Italy","Naples, Italy",Naples,Italy
"Villefranche, France","Villefranche, France",Villefranche,France
"Barcelona, Spain","Barcelona, Spain",Barcelona,Spain
Gibraltar,Gibraltar,Gibraltar,
"Funchal, Madeira",Unknown,Unknown,
"Curacao, Dutch West Indies",Unknown,Unknown,
"San Diego, Calif.",Unknown,Unknown,
"Los Angeles / San Pedro, Calif",Unknown,Unknown,
"Santa Barbara, Calif.",Unknown,Unknown,
Stockton,Stockton,Stockton,
Oakland,Oakland,Oakland,
Eureka,Eureka,Eureka,
Crescent City,"Crescent City, USA",Crescent City,USA
Monterey,Monterey,Monterey,
Port San Luis,"Port San Luis, USA",Port San Luis,USA
Long Beach,Long Beach,Long Beach,
San Diego,San Diego,San Diego,
"Hilo,  Terr. of Hawaii",Unknown,Unknown,
"Lahaina, Maui, T.H.",Unknown,Unknown,
San Pedro,San Pedro,San Pedro,
"Balboa, Canal Zone",Unknown,Unknown,
St. Elmo Bay,Unknown,Unknown,
"Caragena, Colombia","Cartagena, Colombia",Cartagena,Colombia
"Vera Cruz, Mexico","Veracruz, Mexico",Veracruz,Mexico
"Houston, Tex",Unknown,Unknown,
"Magdalena Bay, Mexico","Magdalena Bay, Mexico",Magdalena Bay,Mexico
"Papeete, Tahiti",Unknown,Unknown,
"Auckland, New Zealand","Auckland, New Zealand",Auckland,New Zealand
"Melbourne, Australia","Melbourne, Australia",Melbourne,Australia
"Sydney, Australia","Sydney, Australia",Sydney,Australia
"Suva, Fiji Islands",Unknown,Unknown,
"Pago Pago, American Samoa ",Unknown,Unknown,
"Honolulu, Terr. of Hawaii",Unknown,Unknown,
"Hilo, Hawaii",Unknown,Unknown,
"Long Beach, Calif",Unknown,Unknown,
"Honolulu, Hawaii",Unknown,Unknown,
"Lahaina Roads, Maui","Lahaina Roads, USA",Lahaina Roads,USA
"Acapulco, Mexico","Acapulco, Mexico",Acapulco,Mexico
"Balboa, CZ, Panama","Balboa, Panama",Balboa,Panama
"Mazatlan, Mexico","Mazatlan, Mexico",Mazatlan,Mexico
"Santa Cruz, Calif.",Unknown,Unknown,
"San Francisco, pier 45",Unknown,Unknown,
"La Union, Salvador","La Unión, El Salvador",La Unión,El Salvador
"St.Elmo Bay, Perlas Island",Unknown,Unknown,
"Manzanillo, Mexico","Manzanillo, Mexico",Manzanillo,Mexico
"Magdelena Bay, Mexico","Magdalena Bay, Mexico",Magdalena Bay,Mexico
"Treasure Island, San Fran ",Unknown,Unknown,
"Guantanamo, Cuba","Guantánamo, Cuba",Guantánamo,Cuba
"San Juan, Puerto Rico","San Juan, Puerto Rico",San Juan,Puerto Rico
"Havana, Cuba","Havana, Cuba",Havana,Cuba
"Miami, Florida",Unknown,Unknown,
"Newport News, Virginia",Unknown,Unknown,
"Annapolis, Maryland",Unknown,Unknown,
"Magdalena Bay, Mex.","Magdalena Bay, Mexico",Magdalena Bay,Mexico
SF Bay past Golden Gate,Unknown,Unknown,
,Unknown,Unknown,
SF Bay and Farallone Islands,Unknown,Unknown,
Salina Cruz,Salina Cruz,Salina Cruz,
Los Angeles,"Los Angeles, USA",Los Angeles,USA
Santa Barbara ,"Santa Barbara, USA",Santa Barbara,USA
So. San Fran Bay ,Unknown,Unknown,
San Pablo Bay,"San Pablo Bay, USA",San Pablo Bay,USA
Redwood Creek,"Redwood Creek, USA",Redwood Creek,USA
Suisun Bay,Suisun Bay,Suisun Bay,
San Fran Bay,San Francisco Bay,San Francisco Bay,
San Fran Bay / San Pablo Bay,Unknown,Unknown,
No. SF Bay / South SF Bay,Unknown,Unknown,
So. SF Bay,Unknown,Unknown,
No. SF Bay,Unknown,Unknown,
Vallejo,Vallejo,Vallejo,
Morrow Cove,"Morrow Cove, USA",Morrow Cove,USA
Long Beach  (San Pedro),Unknown,Unknown,
San Pablo Bay ,"San Pablo Bay, USA",San Pablo Bay,USA
SF Bay,Unknown,Unknown,
Los Angeles / Long Beach,Unknown,Unknown,
New Orleans,"New Orleans, USA",New Orleans,USA
"Kingston, Jamaica","Kingston, Jamaica",Kingston,Jamaica
LOSA / Long Beach,Unknown,Unknown,
"Monterey, Calif.",Unknown,Unknown,
San Francisco   (shipyard),Unknown,Unknown,
"Balboa, Panama          ",Unknown,Unknown,
San Juan PR  ,Unknown,Unknown,
"Curacao, N.W.I.",Unknown,Unknown,
"Gibraltar, Spain",Unknown,Unknown,
"Marseilles, France","Marseille, France",Marseille,France
"Genoa, Italy","Genoa, Italy",Genoa,Italy
"Naples, Italy            ",Unknown,Unknown,
"Pireasus, Greece    ",Unknown,Unknown,
"Algiers, Algeria","Algiers, Algeria",Algiers,Algeria
"Treasure Island, CA","Treasure Island, USA",Treasure Island,USA
Monterey CA,"Monterey, USA",Monterey,USA
Alameda   (shipyard),Unknown,Unknown,
"Balboa, C.Z., Panama","Balboa, Panama",Balboa,Panama
Houston Texas,Unknown,Unknown,
"St. Thomas, Virgin Islands",Unknown,Unknown,
"Curacao, Netherland Antilles",Unknown,Unknown,
"Colon, Panama","Colón, Panama",Colón,Panama
San Francisco   (Hunters Point),Unknown,Unknown,
Portland Oregon,Unknown,Unknown,
Seattle Wash,Unknown,Unknown,
"Vancouver, B.C.",Unknown,Unknown,
Honolulu Hawaii,Unknown,Unknown,
Hilo Hawaii,Unknown,Unknown,
"San Jose, Guatamala","San José, Guatemala",San José,Guatemala
"Pago Pago, Samoa",Unknown,Unknown,
"Lahaina Roads, Hawaii",Unknown,Unknown,
Honolulu,Honolulu,Honolulu,
San Francisco        (drydock),Unknown,Unknown,
"Richmond, Calif.",Unknown,Unknown,
San Francisco   (drydock),Unknown,Unknown,
"San Pedro, Calif.",Unknown,Unknown,
"Galapagos, Ecuador","Galapagos Islands, Ecuador",Galapagos Islands,Ecuador
San Francisco  (overhaul),Unknown,Unknown,
Santa Catalina Island,"Santa Catalina Island, USA",Santa Catalina Island,USA
San Francisco   ,"San Francisco, USA",San Francisco,USA
Richmond,Richmond,Richmond,
Bethlehem SY SFran   ,Unknown,Unknown,
"Pago Pago, Am.Samoa",Unknown,Unknown,
"Port Hueneme, Calif.",Unknown,Unknown,
Bethlehem SY  SanFran  ,Unknown,Unknown,
Treasure Island,"Treasure Island, USA",Treasure Island,USA
"Callao, Peru            (Lima)",Unknown,Unknown,
"Buenaventura, Colombia","Buenaventura, Colombia",Buenaventura,Colombia
Todd SY Alameda,Unknown,Unknown,
"Rodman, Balboa, Panama",Unknown,Unknown,
"Port of Spain, Trinidad","Port of Spain, Trinidad and Tobago",Port of Spain,Trinidad and Tobago
"Willemstad, Curacao, D.W.I.",Unknown,Unknown,
Sacramento,Sacramento,Sacramento,
Bethlehem SY,Unknown,Unknown,
"Guayaquil, Ecuador","Guayaquil, Ecuador",Guayaquil,Ecuador
"Cocos Island, Costa Rica","Cocos Island, Costa Rica",Cocos Island,Costa Rica
"Manila, Philippines","Manila, Philippines",Manila,Philippines
"Hong Kong, B.C.C.",Unknown,Unknown,
"Yokohama, Japan","Yokohama, Japan",Yokohama,Japan
Richmond ,"Richmond, USA",Richmond,USA
"Cristobal, CZ",Unknown,Unknown,
Martinez,Martinez,Martinez,
San Pedro CA,"San Pedro, USA",San Pedro,USA
"Galapagos Islands, Ecuador","Galapagos Islands, Ecuador",Galapagos Islands,Ecuador
"Balboa, CZ",Unknown,Unknown,
Alameda - Todd Shipyard,Unknown,Unknown,
Acapulco Mex.,"Acapulco, Mexico",Acapulco,Mexico
"Seattle, Wash",Unknown,Unknown,
"St. Thomas,  Virgin Isl.",Unknown,Unknown,
"Willemstad, Curacao, Neth. Antilles",Unknown,Unknown,
"Academy Bay, Galapagos, Ecuador",Unknown,Unknown,
"Kahului, Maui, Hawaii",Unknown,Unknown,
"Portland, Oregon",Unknown,Unknown,
"Amapala, Honduras","Amapala, Honduras",Amapala,Honduras
"Curacao, Neth. Antilles",Unknown,Unknown,
"Balboa, CZ   (Rodman)",Unknown,Unknown,
San Clemente Island,"San Clemente Island, USA",San Clemente Island,USA
"Puerto Villarta, Mex","Puerto Vallarta, Mexico",Puerto Vallarta,Mexico
"Acajutla, El Salvador","Acajutla, El Salvador",Acajutla,El Salvador
"Puerto Vallarta, Mexico","Puerto Vallarta, Mexico",Puerto Vallarta,Mexico
"Lahaina Roads, Maui, Hawaii",Unknown,Unknown,
"Noumea, New Caledonia","Noumea, New Caledonia",Noumea,New Caledonia
"Punta Arenas, Costa Rica","Puntarenas, Costa Rica",Puntarenas,Costa Rica
"Isla Cedos, Mexico",Unknown,Unknown,
"Manzanillo, Mex","Manzanillo, Mexico",Manzanillo,Mexico
"Puntarenas, Costa Rica","Puntarenas, Costa Rica",Puntarenas,Costa Rica
"Acapulco, Mex","Acapulco, Mexico",Acapulco,Mexico
"Nukualofa, Tonga Islands",Unknown,Unknown,
"Auckland, NZ",Unknown,Unknown,
"Pago Pago, Am. Samoa",Unknown,Unknown,
"MARAD fleet, Suisun Bay",Unknown,Unknown,
"Isla Cedros, Mexico",Unknown,Unknown,
Guaymas Mex  ,Unknown,Unknown,
"Ensenada, Mexico","Ensenada, Mexico",Ensenada,Mexico
"Lazaro Cardenas, Mexico","Lázaro Cárdenas, Mexico",Lázaro Cárdenas,Mexico
Seattle,Seattle,Seattle,
"Bahia de Todos, Mexico","Bahía de Todos Santos, Mexico",Bahía de Todos Santos,Mexico
"Cedros Island, Mex.","Cedros Island, Mexico",Cedros Island,Mexico
"Cabo San Lucas, Mex","Cabo San Lucas, Mexico",Cabo San Lucas,Mexico
"Lahaina, Maui, Hawaii",Unknown,Unknown,
"Bahia de Todos Santos, Mex","Bahía de Todos Santos, Mexico",Bahía de Todos Santos,Mexico
"Zihuatenejo, Mexico","Zihuatanejo, Mexico",Zihuatanejo,Mexico
Gulf of Panama,Gulf of Panama,Gulf of Panama,
"Puerto Vallarta, Mex","Puerto Vallarta, Mexico",Puerto Vallarta,Mexico
Vancouver BC,Vancouver,Vancouver,
"Lahaina, Hawaii",Unknown,Unknown,
"Apra, Guam, Marianas",Unknown,Unknown,
Hong Kong,Hong Kong,Hong Kong,
"Shanghai, China","Shanghai, China",Shanghai,China
"Naha, Okinawa, Japan",Unknown,Unknown,
Lahaina Hawaii,Unknown,Unknown,
"Nukualofa, Tonga","Nukuʻalofa, Tonga",Nukuʻalofa,Tonga
"Brisbane, Australia","Brisbane, Australia",Brisbane,Australia
"Apia,  W.Samoa","Apia, Samoa",Apia,Samoa
Oakland ,Oakland,Oakland,
"Apra Harbor, Guam","Apra Harbor, Guam",Apra Harbor,Guam
"Cebu City, Philippines","Cebu City, Philippines",Cebu City,Philippines
Singapore,Singapore,Singapore,
Kobe Japan,"Kobe, Japan",Kobe,Japan
"Harumi, Japan","Harumi, Japan",Harumi,Japan
"San Jose, Guatemala","San José, Guatemala",San José,Guatemala
"Caragena, Columbia","Cartagena, Colombia",Cartagena,Colombia
Panama Canal,Panama Canal,Panama Canal,
"Cabo San Lucas, Mexico","Cabo San Lucas, Mexico",Cabo San Lucas,Mexico
"Sydney, NSW, Australia","Sydney, Australia",Sydney,Australia
"Saipan, Marianas Islands",Unknown,Unknown,
"Bitung, Indonesia","Bitung, Indonesia",Bitung,Indonesia
"Kailua-Kona, Hawaii",Unknown,Unknown,
Cabo San Lucas,Cabo San Lucas,Cabo San Lucas,
Galapagos Islands,Galapagos Islands,Galapagos Islands,
"Antofagasta, Chile","Antofagasta, Chile",Antofagasta,Chile
"Cairns, Australia","Cairns, Australia",Cairns,Australia
"Majuro Atoll, Marshall Islands","Majuro Atoll, Marshall Islands",Majuro Atoll,Marshall Islands
"Astoria, Oregon",Unknown,Unknown,
Farallon Islands,"Farallon Islands, USA",Farallon Islands,USA
Richmond anchorage,Unknown,Unknown,
"Victoria, B.C.",Unknown,Unknown,
"Sitka, Alaska",Unknown,Unknown,
"Kodiak, Alaska",Unknown,Unknown,
"Glacier Bay, Alaska",Unknown,Unknown,
Prince William Sound,"Prince William Sound, USA",Prince William Sound,USA
"Juneau, Alaska",Unknown,Unknown,
"Ketchikan, Alaska",Unknown,Unknown,
"Eureka, Calif.",Unknown,Unknown,
"Pusan, Korea",Unknown,Unknown,
"Vladivostok, Russia","Vladivostok, Russia",Vladivostok,Russia
"Nawiliwili, Kauai, Hawaii",Unknown,Unknown,
"Coos Bay, Oregon",Unknown,Unknown,
Alameda,Alameda,Alameda,
NSC Oakland,Unknown,Unknown,
Catalina Islands,Santa Catalina Island,Santa Catalina Island,
Vallejo ,Vallejo,Vallejo,
"Robinson Crusoe Island, Chile","Robinson Crusoe Island, Chile",Robinson Crusoe Island,Chile
"Easter Island, Chile","Easter Island, Chile",Easter Island,Chile
"Rodman NavSta, Panama",Unknown,Unknown,
"Zihuatanejo, Mex","Zihuatanejo, Mexico",Zihuatanejo,Mexico
Santa Cruz,Santa Cruz,Santa Cruz,
"Suva, Fiji","Suva, Fiji",Suva,Fiji
"Rabaul, Papue New Guinea","Rabaul, Papua New Guinea",Rabaul,Papua New Guinea
"Anchorage, Alaska",Unknown,Unknown,
"Galapagoes Islands, Equador","Galapagos Islands, Ecuador",Galapagos Islands,Ecuador
"Nuka Hiva, Marquesas",Unknown,Unknown,
"Rarotanga, Cook Islands","Rarotonga, Cook Islands",Rarotonga,Cook Islands
"Palmyra Island, Line Islands",Unknown,Unknown,
"Lahaina, Maui",Unknown,Unknown,
Channel Islands,"Channel Islands, USA",Channel Islands,USA
"Kona, Hawaii",Unknown,Unknown,
SFran Bay,Unknown,Unknown,
"San Blas Island, Panama","San Blas Island, Panama",San Blas Island,Panama
"Isla Roatan, Honduras","Isla Roatán, Honduras",Isla Roatán,Honduras
"Georgetown, Grand Cayman",Unknown,Unknown,
Panama,Panama,Panama,
"Colonia, Yap,  W.Caroline Isl.",Unknown,Unknown,
"Hong Kong, China","Hong Kong, China",Hong Kong,China
"Sasebo, Japan","Sasebo, Japan",Sasebo,Japan
Midway,Unknown,Unknown,
"Lanai, Hawaii",Unknown,Unknown,
"Subic Bay, Philippines","Subic Bay, Philippines",Subic Bay,Philippines
"Quepos, Costa Rica","Quepos, Costa Rica",Quepos,Costa Rica
"Iquique, Chile","Iquique, Chile",Iquique,Chile
"Seattle, WA","Seattle, USA",Seattle,USA
San Diego CA,"San Diego, USA",San Diego,USA
"Dutch Harbor, Unalaska, Alaska",Unknown,Unknown,
"Attu/Adak, Aleutians, Alaska",Unknown,Unknown,
"Kiska, Aleutians, Alaska",Unknown,Unknown,
"Makpo, South Korea","Mokpo, South Korea",Mokpo,South Korea
Midway Island,"Midway Island, USA",Midway Island,USA
"Honolulu, Oahu, Hawaii",Unknown,Unknown,
"Saipan, Trust Territory",Unknown,Unknown,
"Pusan  (Busan), South Korea",Unknown,Unknown,
Palmyra Island,"Palmyra Island, USA",Palmyra Island,USA
"Raratonga,",Rarotonga,Rarotonga,
"San Diego, CA","San Diego, USA",San Diego,USA
San Fran Bay  (around Alcatraz),Unknown,Unknown,
"Zihuatanejo,  Mexico","Zihuatanejo, Mexico",Zihuatanejo,Mexico
"Lima, Peru","Lima, Peru",Lima,Peru
"Caldera, Costa Rica","Caldera, Costa Rica",Caldera,Costa Rica
"Golfito, Costa Rica","Golfito, Costa Rica",Golfito,Costa Rica
San Francisco Bay,"San Francisco Bay, USA",San Francisco Bay,USA
"Vallejo, CA","Vallejo, USA",Vallejo,USA
"Kobe, Japan","Kobe, Japan",Kobe,Japan
"Da Nang, Vietnam","Da Nang, Vietnam",Da Nang,Vietnam
"Honolulu, HI",Unknown,Unknown,
"Nigata, Japan","Nigata, Japan",Nigata,Japan
Catalina Island,Santa Catalina Island,Santa Catalina Island,
"Long Beach, CA","Long Beach, USA",Long Beach,USA
"Busan, Rep. of Korea",Unknown,Unknown,
"Saipan, Japan",Unknown,Unknown,
Wake Island,"Wake Island, USA",Wake Island,USA
"Pago Pago, American Samoa",Unknown,Unknown,
"Wellington, N. Z.",Unknown,Unknown,
"Brisbank, Australia","Brisbane, Australia",Brisbane,Australia
"Auckland, N. Z.",Unknown,Unknown,
"Sacramento, CA","Sacramento, USA",Sacramento,USA
"Catalina Island, CA",Unknown,Unknown,
"Puntarenas, Costa Rica ","Puntarenas, Costa Rica",Puntarenas,Costa Rica
"Montego Bay, Jamaica","Montego Bay, Jamaica",Montego Bay,Jamaica
"La Union, El Salvador","La Unión, El Salvador",La Unión,El Salvador
"Los Angeles, CA","Los Angeles, USA",Los Angeles,USA
"San Francisco, CA","San Francisco, USA",San Francisco,USA
"Portland, OR",Unknown,Unknown,
"Busan, S. Korea","Busan, South Korea",Busan,South Korea
"Ha Long, Vietnam","Hạ Long, Vietnam",Hạ Long,Vietnam
"Saipan, CNMI",Unknown,Unknown,
"Lahaina, HI 500",Unknown,Unknown,
Catalina 500,Unknown,Unknown,
"Charlotte Amalie, USVI",Charlotte Amalie,Charlotte Amalie,
"Boston, MA","Boston, USA",Boston,USA
Seattle. WA,Unknown,Unknown,
"Astoria, OR",Unknown,Unknown,
"Apia, Samoa","Apia, Samoa",Apia,Samoa
"Honiara, Solomon Islands","Honiara, Soloman Islands",Honiara,Soloman Islands
"Saipan, NMI",Unknown,Unknown,
"Lahaina, HI",Unknown,Unknown,
"Lisbon, Portugal","Lisbon, Portugal",Lisbon,Portugal
"Ponta Delgada, Azores",Unknown,Unknown,
"Port Everglade, FL","Port Everglades, USA",Port Everglades,USA
"Galveston, TX","Galveston, USA",Galveston,USA
